name,industry,headquarter,company_type,foundation_date,founders,market_cap,rank,number_of_employees,website,facebook,twitter,instagram,pinterest,telephone,ceo,company_status,revenue,investors,total_assets_in_usd,total_liabilities_in_usd,total_equity_in_usd,annual_net_income_in_usd,annual_results_for_year_ending
Xiaomi,"['Electronics', 'Tech', 'Tech Hardware']",China,,,,$34.36 B,506.0,,,,,,,,,,,,,,,,
Warner Bros. Discovery,"['Entertainment', 'Media/Press']",USA,,,,$27.80 B,637.0,,,,,,,,,,,,,,,,
Extra Space Storage,['Real estate'],USA,,,,$22.34 B,765.0,,,,,,,,,,,,,,,,
Nu Holdings,"['Banks', 'Financial services']",Brazil,,,,$20.89 B,810.0,,,,,,,,,,,,,,,,
First Solar,,USA,,,,$17.94 B,938.0,,,,,,,,,,,,,,,,
Swiss Life,['Insurance'],Switzerland,,,,$17.52 B,967.0,,,,,,,,,,,,,,,,
Amundi,"['Asset Management', 'Investment']",France,,,,$11.68 B,1293.0,,,,,,,,,,,,,,,,
Hyundai Mobis,,South Korea,,,,$15.73 B,1067.0,,,,,,,,,,,,,,,,
Ionis Pharmaceuticals,"['Pharmaceuticals', 'Biotech']",USA,,,,$5.78 B,2192.0,,,,,,,,,,,,,,,,
Apartment Income Reit,"['REITs', 'Real estate', 'Investment']",USA,,,,$5.43 B,2287.0,,,,,,,,,,,,,,,,
Option Care Health,,USA,,,,$5.09 B,2394.0,,,,,,,,,,,,,,,,
Spectrum Brands,,USA,,,,$2.61 B,3397.0,,,,,,,,,,,,,,,,
Kennedy Wilson,"['Real estate', 'Investment']",USA,,,,$2.29 B,3595.0,,,,,,,,,,,,,,,,
Xpel,,USA,,,,$1.97 B,3785.0,,,,,,,,,,,,,,,,
Wolverine World Wide,"['Footwear', 'Manufacturing']",USA,,,,$1.06 B,4600.0,,,,,,,,,,,,,,,,
Mrc Global,['Industrial supplies'],USA,,,,$0.99 B,4686.0,,,,,,,,,,,,,,,,
Creepy Jar,"['Video games', 'Entertainment']",Poland,,,,$0.12 B,6486.0,,,,,,,,,,,,,,,,
Castellum,"['Tech', 'IT security', 'IT services', 'Software']",USA,,,,$47.77 M,6831.0,,,,,,,,,,,,,,,,
Hexo,['Cannabis'],Canada,,,,$64.39 M,6747.0,,,,,,,,,,,,,,,,
Schnitzer Steel,"['Steel producers', 'Steel industry', 'Waste & Recycling']",USA,,,,$0.93 B,4770.0,,,,,,,,,,,,,,,,
Grendene,['Footwear'],Brazil,,,,$1.11 B,4547.0,,,,,,,,,,,,,,,,
Everbridge,,USA,,,,$1.19 B,4474.0,,,,,,,,,,,,,,,,
Kiocl,['Mining'],India,,,,$1.60 B,4069.0,,,,,,,,,,,,,,,,
Dormakaba,['Security & Protection Services'],Switzerland,,,,$1.68 B,4005.0,,,,,,,,,,,,,,,,
Ingles Markets,"['Supermarket Chains', 'Retail']",USA,,,,$1.81 B,3905.0,,,,,,,,,,,,,,,,
Renasant Corp,"['Banks', 'Financial services']",USA,,,,$2.01 B,3766.0,,,,,,,,,,,,,,,,
Landis+gyr,"['Manufacturing', 'Electronics']",Switzerland,,,,$2.23 B,3624.0,,,,,,,,,,,,,,,,
Korea Gas,"['Oil&Gas', 'Energy']",South Korea,,,,$2.35 B,3556.0,,,,,,,,,,,,,,,,
Corbion,,Netherlands,,,,$2.41 B,3516.0,,,,,,,,,,,,,,,,
Acer,['Tech'],Taiwan,,,,$2.42 B,3509.0,,,,,,,,,,,,,,,,
Lundin Gold,"['Mining', 'Gold mining']",Canada,,,,$2.64 B,3376.0,,,,,,,,,,,,,,,,
Arch Resources,"['Mining', 'Coal Mining']",USA,,,,$2.70 B,3341.0,,,,,,,,,,,,,,,,
Varonis,"['Software', 'Tech', 'IT security']",USA,,,,$2.83 B,3271.0,,,,,,,,,,,,,,,,
Atlas Air Worldwide Holdings,"['Airlines', 'Travel', 'Transportation']",USA,,,,$2.89 B,3236.0,,,,,,,,,,,,,,,,
China Construction Bank,,,,,,,,,,https://www.facebook.com/people/China-construction-bank/100070125410227/,https://twitter.com/efd_dff/status/1121698241098256385,https://www.instagram.com/explore/locations/1020937200/china-construction-bank/,https://www.pinterest.com/pin/14918242492574218/,,,,,,,,,,
Microsoft,,,,,,,,,,https://it-it.facebook.com/Microsoft/,https://twitter.com/microsoft,https://www.instagram.com/microsoft/,https://forbes.it/2021/02/11/microsoft-provato-comprare-pinterest-operazione-51-miliardi/,,,,,,,,,,
AT&T,,,,,,,,,,https://www.at-bus.it/it/,https://www.at-bus.it/it/,https://www.at-bus.it/it/,https://www.at-bus.it/it/,,,,,,,,,,
Chevron,,,,,,,,,,https://www.facebook.com/Chevron/,https://twitter.com/chevron,https://www.instagram.com/chevron/,,,,,,,,,,,
Procter & Gamble,,,,,,,,,,https://it.pg.com/,https://it.pg.com/,https://it.pg.com/,https://it.pg.com/,,,,,,,,,,
PepsiCo,,,,,,,,,,https://www.facebook.com/PepsiCo/,https://twitter.com/pepsico,https://www.instagram.com/pepsico/,https://www.pinterest.com/pepsico/,,,,,,,,,,
Walt Disney,,,,,,,,,,https://it-it.facebook.com/WaltDisneyStudiosIT/,https://twitter.com/waltdisneyco,https://www.instagram.com/disney/,,,,,,,,,,,
IBM,,,,,,,,,,https://it-it.facebook.com/IBM/,https://twitter.com/ibm,https://www.instagram.com/ibm/,https://www.pinterest.com/thiagopribeir/ibm/,,,,,,,,,,
Oracle,,,,,,,,,,https://it-it.facebook.com/oracle,https://twitter.com/oracle,https://www.instagram.com/oracle/,https://www.pinterest.com/oracle/,,,,,,,,,,
Truist Financial,,,,,,,,,,https://it-it.facebook.com/truist/,https://twitter.com/truistnews,https://www.instagram.com/truist/?hl=it,https://www.pinterest.com/pin/truist-cares-about-your-financial-privacy-and-protection-which-is-shown-in-how-we-collect-use-and-secure-your-person-in-2021--656751558170776266/,,,,,,,,,,
General Dynamics,,,,,,,,,,https://www.facebook.com/GDMissionSystems/,https://twitter.com/generaldynamics,https://www.instagram.com/generaldynamics/?hl=it,https://www.pinterest.it/pin/420664421424172348/,,,,,,,,,,
HP,,,,,,,,,,https://it-it.facebook.com/HPItalia/,https://twitter.com/hp,https://www.instagram.com/hp/,https://www.pinterest.it/martatulli/hp/,,,,,,,,,,
Xiaomi,,,,,,,,,,https://it-it.facebook.com/XiaomiItalia/,https://twitter.com/xiaomi,https://www.instagram.com/xiaomi.italia/?hl=it,https://www.pinterest.it/davidvd160771/xiaomi/,,,,,,,,,,
Texas Instruments,,,,,,,,,,https://www.facebook.com/texasinstruments/,https://twitter.com/txinstruments,https://www.instagram.com/txinstruments/,https://www.pinterest.com/ticalculators/,,,,,,,,,,
Kraft Heinz Company,,,,,,,,,,https://www.facebook.com/kraftheinzcompany/,https://twitter.com/kraftheinzco,https://www.instagram.com/kraftheinzus/,https://www.pinterest.com/kraftheinz/,,,,,,,,,,
Japan Tobacco,,,,,,,,,,https://www.facebook.com/groups/58304207248/,https://twitter.com/jti_global,https://www.instagram.com/explore/locations/754135722/japan-tobacco-international/,https://www.pinterest.com/bpagano83/japan-tobacco/,,,,,,,,,,
Swiss Life Holding,,,,,,,,,,https://it-it.facebook.com/SwissLifeSvizzeraItaliana/,https://twitter.com/swisslife_group,https://www.instagram.com/swisslife/,,,,,,,,,,,
Philips,,,,,,,,,,https://it-it.facebook.com/PhilipsItalia/,https://twitter.com/philipsitalia,https://www.instagram.com/philipsitalia/,https://nl.pinterest.com/philipsglobal/,,,,,,,,,,
Kinder Morgan,,,,,,,,,,https://www.facebook.com/KinderMorganInc/,https://twitter.com/kinder_morgan,https://www.instagram.com/kindermorganinc/?hl=it,https://www.pinterest.it/pin/473933560762406678/,,,,,,,,,,
New China Life Insurance,,,,,,,,,,https://m.facebook.com/profile.php?id=109390315754034,https://twitter.com/chinalifebrk,https://www.instagram.com/chinalifesingapore/?hl=it,https://www.pinterest.it/pin/p21811--72550243987032103/,,,,,,,,,,
Nintendo,,,,,,,,,,https://it-it.facebook.com/NintendoItalia/,,https://www.instagram.com/nintendoitalia/,https://www.pinterest.com/nintendo/,,,,,,,,,,
Hana Financial Group,,,,,,,,,,https://www.facebook.com/hanafn/,https://twitter.com/hana_financial,https://www.instagram.com/hfgswo/,https://www.pinterest.it/pin/541839398892837416/,,,,,,,,,,
Hyundai Mobis,,,,,,,,,,https://www.facebook.com/mobisglobal/,https://twitter.com/global_mobis,https://www.instagram.com/hyundaimobisin/?hl=it,https://in.pinterest.com/hyundaimobis/,,,,,,,,,,
Muyuan Foodstuff,,,,,,,,,,https://www.facebook.com/Muyuanfoodscoltd/,https://twitter.com/comuyuan,https://www.instagram.com/p/B6H3KSKHPT6/?hl=it,,,,,,,,,,,
Infineon Technologies,,,,,,,,,,https://www.facebook.com/Infineon/,https://twitter.com/infineon,https://www.instagram.com/infineoncareers/,https://www.pinterest.com/pin/semiconductor-system-solutions-infineon-technologies--713398397211833136/,,,,,,,,,,
Warner Bros. Discovery,,,,,,,,,,https://it-it.facebook.com/WBD/,https://mobile.twitter.com/wbd,https://www.instagram.com/wbd/?hl=it,,,,,,,,,,,
Safran,,,,,,,,,,https://www.facebook.com/GroupeSafran/,https://twitter.com/safran,https://www.instagram.com/safran_group/,https://www.pinterest.it/italiabio/safran/,,,,,,,,,,
Saudi Arabian Mining,,,,,,,,,,https://it-it.facebook.com/maadenksa/,https://twitter.com/search?q=saudi%20arabia%20mining,https://www.instagram.com/maadenksa/,https://www.pinterest.com/pin/445715694368216607/,,,,,,,,,,
MindMaze,Health,"Lausanne, Switzerland",,2012.0,,,,,,,,,,,,,,Hinduja Group,,,,,
OVH,Other,"Roubaix, France",,1999.0,,,,,,,,,,,,,,"KKR, TowerBrook Capital Partners",,,,,
Workday Careers,Computer Software,"Pleasanton, CA",,2005.0,,,,"10,000+ employees",www.workday.com,,,,,,,,,,,,,,
OVH Groupe SAS,,"Roubaix, France",,,,Not found,,"2,435",https://disfold.com/company/ovh-groupe-sas/,,,,,,Mr. Michel  Paulin,,,,,,,,
"Joincare Pharmaceutical Group Industry Co.,Ltd.",,"Shenzhen, China",,,,CN¥23.38 Billion,,"12,466",https://disfold.com/company/joincare-pharmaceutical-group-industry-coltd/,,,,,,Not found,,,,,,,,
JL Mag Rare-Earth Co. Ltd,,"Ganzhou, China",,,,CN¥21.88 Billion,,"3,038",https://disfold.com/company/jl-mag-rare-earth-co-ltd/,,,,,,Not found,,,,,,,,
Leyard Optoelectronic Co. Ltd,,"Beijing, China",,,,CN¥18.18 Billion,,"4,462",https://disfold.com/company/leyard-optoelectronic-co-ltd/,,,,,,Mr. Thorsten  Lipp,,,,,,,,
Wonders Information Co. Ltd,,"Shanghai, China",,,,CN¥12.68 Billion,,"6,615",https://disfold.com/company/wonders-information-co-ltd/,,,,,,Not found,,,,,,,,
Haohua Chemical Science & Technology Corp Ltd,,"Chengdu, China",,,,CN¥33.51 Billion,,"6,878",https://disfold.com/company/haohua-chemical-science-technology-corp-ltd/,,,,,,Not found,,,,,,,,
China Eastern Airlines Corporation Limited,,"Shanghai, China",,,,CN¥64.80 Billion,,"81,157",https://disfold.com/company/china-eastern-airlines-corporation-limited/,,,,,,Not found,,,,,,,,
Landis+Gyr Group AG,,"Cham, Switzerland",,,,CHF1.72 Billion,,"5,000",https://disfold.com/company/landis-gyr-group-ag/,,,,,,Not found,,,,,,,,
dormakaba Holding AG,,"Rumlang, Switzerland",,,,CHF1.98 Billion,,"15,304",https://disfold.com/company/dormakaba-holding-ag/,,,,,,Not found,,,,,,,,
Mekonomen AB,,"Stockholm, Sweden",,,,kr6.21 Billion,,"5,118",https://disfold.com/company/mekonomen-ab/,,,,,,Mr. Pehr  Oscarson,,,,,,,,
Nayax Ltd,,"Herzliya, Israel",,,,₪36.1 Million,,550,https://disfold.com/company/nayax-ltd/,,,,,,Yair  Nechmad,,,,,,,,
Creepy Jar SA,,"Warsaw, Poland",,,,€100.3 Million,,30,https://disfold.com/company/creepy-jar-sa/,,,,,,Mr. Krzysztof Maciej Kwiatek,,,,,,,,
Lundin Gold Inc.,,"Vancouver, BC, Canada",,,,C$2.45 Billion,,Not found,https://disfold.com/company/lundin-gold-inc/,,,,,,"Mr. Ronald F. Hochstein B.Sc., MBA, P.Eng.",,,,,,,,
Aurora Cannabis Inc.,,"Edmonton, AB, Canada",,,,C$945.2 Million,,"1,761",https://disfold.com/company/aurora-cannabis-inc/,,,,,,Mr. Miguel  Martin,,,,,,,,
HEXO Corp.,,"Kanata, ON, Canada",,,,C$112.1 Million,,Not found,https://disfold.com/company/hexo-corp/,,,,,,Mr. Scott  Cooper,,,,,,,,
Grendene SA,,"Sobral, CE, Brazil",,,,R$9.42 Billion,,"17,000",https://disfold.com/company/grendene-sa/,,,,,,Mr. Rudimar  Dall'Onder,,,,,,,,
"Acer, Inc.",,"New Taipei City, Taiwan",,,,TW$95.80 Billion,,Not found,https://disfold.com/company/acer-inc/,,,,,,Mr. Chun Shen  Chen,,,,,,,,
Hennes & Mauritz AB,,"Stockholm, Sweden",,,,kr209.28 Billion,,"155,000",https://disfold.com/company/hennes-mauritz-ab/,,,,,,Not found,,,,,,,,
Nintendo Co Ltd,,"Kyoto, Japan",,,,¥7.621 Trillion,,"6,574",https://disfold.com/company/nintendo-co-ltd/,,,,,,Not found,,,,,,,,
Japan Airlines Co. Ltd,,"Tokyo, Japan",,,,¥1.054 Trillion,,"36,060",https://disfold.com/company/japan-airlines-co-ltd/,,,,,,Not found,,,,,,,,
Kajima Corp,,"Tokyo, Japan",,,,¥776.23 Billion,,"18,905",https://disfold.com/company/kajima-corp/,,,,,,Not found,,,,,,,,
Taiheiyo Cement Corp,,"Tokyo, Japan",,,,¥239.18 Billion,,"12,586",https://disfold.com/company/taiheiyo-cement-corp/,,,,,,Not found,,,,,,,,
"Nippon Electric Glass Co., Ltd.",,"Otsu, Japan",,,,¥247.00 Billion,,"6,157",https://disfold.com/company/nippon-electric-glass-co-ltd/,,,,,,Not found,,,,,,,,
Kokuyo Co. Ltd,,"Osaka, Japan",,,,¥194.56 Billion,,"6,882",https://disfold.com/company/kokuyo-co-ltd/,,,,,,Not found,,,,,,,,
"Shikoku Electric Power Company, Inc.",,"Takamatsu, Japan",,,,¥165.11 Billion,,"8,150",https://disfold.com/company/shikoku-electric-power-company-inc/,,,,,,Not found,,,,,,,,
"United Super Markets Holdings, Inc.",,"Tokyo, Japan",,,,¥137.41 Billion,,"7,313",https://disfold.com/company/united-super-markets-holdings-inc/,,,,,,Not found,,,,,,,,
NEC Networks & System Integration Corp,,"Tokyo, Japan",,,,¥270.30 Billion,,"7,537",https://disfold.com/company/nec-networks-system-integration-corp/,,,,,,Not found,,,,,,,,
Corbion N.V.,,"Amsterdam, Netherlands",,,,€1.82 Billion,,"2,362",https://disfold.com/company/corbion-nv/,,,,,,Mr. Olivier  Rigaud,,,,,,,,
Jubilee Industries Holdings Ltd,,"Singapore, Singapore",,,,S$13.7 Million,,"1,858",https://disfold.com/company/jubilee-industries-holdings-ltd/,,,,,,Mr. Yeok Kian  Tea,,,,,,,,
Nanofilm Technologies International Ltd,,"Singapore, Singapore",,,,S$1.83 Billion,,Not found,https://disfold.com/company/nanofilm-technologies-international-ltd/,,,,,,Mr. Hock Yong  Ho,,,,,,,,
Hanjaya Mandala Sampoerna Tbk PT,,"Surabaya, Indonesia",,,,€4.70 Billion,,"20,909",https://disfold.com/company/hanjaya-mandala-sampoerna-tbk-pt/,,,,,,Not found,,,,,,,,
Deutsche Bank AG,,"Frankfurt am Main, Germany",,,,€23.88 Billion,,"82,969",https://disfold.com/company/deutsche-bank-ag/,,,,,,Mr. Christian  Sewing,,,,,,,,
Bayerische Motoren Werke AG,,"Munich, Germany",,,,€50.83 Billion,,"118,909",https://disfold.com/company/bayerische-motoren-werke-ag/,,,,,,Mr. Oliver  Zipse,,,,,,,,
Prada S.p.A.,,"Milan, MI, Italy",,,,Not found,,"13,140",https://disfold.com/company/prada-spa/,,,,,,Mr. Patrizio  Bertelli,,,,,,,,
Applegreen plc,,"Dublin, Ireland",,,,€596.9 Million,,"11,145",https://disfold.com/company/applegreen-plc/,,,,,,Not found,,,,,,,,
C&C Group plc,,"Dublin, Ireland",,,,£762.8 Million,,"2,653",https://disfold.com/company/cc-group-plc/,,,,,,Mr. David  Forde,,,,,,,,
Amundi SA,,"Paris, France",,,,€12.59 Billion,,"5,300",https://disfold.com/company/amundi-sa/,,,,,,Not found,,,,,,,,
Safran SA,,"Paris, France",,,,€45.27 Billion,,"77,008",https://disfold.com/company/safran-sa/,,,,,,Mr. Olivier  Andries,,,,,,,,
Dior,,"Paris, France",,,,€110.51 Billion,,"119,243",https://disfold.com/company/christian-dior-se/,,,,,,Mr. Sidney  Toledano,,,,,,,,
LVMH,,"Paris, France",,,,€325.15 Billion,,"148,343",https://disfold.com/company/lvmh-moet-hennessy-louis-vuitton-se/,,,,,,Mr. Bernard  Arnault,,,,,,,,
Service Stream Limited,,"Melbourne, VIC, Australia",,,,A$424.2 Million,,Not found,https://disfold.com/company/service-stream-limited/,,,,,,Not found,,,,,,,,
China Construction Bank,,"Beijing, China",,,,CN¥1.205 Trillion,,"373,814",https://disfold.com/company/china-construction-bank-corp/,,,,,,Not found,,,,,,,,
Ternium Argentina SA,,"Buenos Aires, Argentina",,,,AR$62.56 Billion,,Not found,https://disfold.com/company/ternium-argentina-sa/,,,,,,Not found,,,,,,,,
Microsoft,,"Redmond, WA, United States",,,,$2.328 Trillion,,"181,000",https://disfold.com/company/microsoft-corporation/,,,,,,Mr. Satya  Nadella,,,,,,,,
Chevron,,"San Ramon, CA, United States",,,,$315.13 Billion,,"42,595",https://disfold.com/company/chevron-corporation/,,,,,,Mr. Michael K. Wirth,,,,,,,,
Procter & Gamble,,"Cincinnati, OH, United States",,,,$384.60 Billion,,"101,000",https://disfold.com/company/procter-gamble-company/,,,,,,Mr. Jon R. Moeller,,,,,,,,
Texas Instruments,,"Dallas, TX, United States",,,,$171.28 Billion,,"31,000",https://disfold.com/company/texas-instruments-incorporated/,,,,,,Mr. Richard K. Templeton,,,,,,,,
AT&T,,"Dallas, TX, United States",,,,$175.88 Billion,,"203,000",https://disfold.com/company/at-t-inc/,,,,,,Mr. John T. Stankey,,,,,,,,
Essentra plc,,"Milton Keynes, United Kingdom",,,,£960.9 Million,,"8,327",https://disfold.com/company/essentra-plc/,,,,,,Not found,,,,,,,,
JPMorgan Global Growth & Income plc,,Not found,,,,£710.4 Million,,Not found,https://disfold.com/company/jpmorgan-global-growth-income-plc/,,,,,,Not found,,,,,,,,
BlackRock Throgmorton Trust plc,,Not found,,,,£689.4 Million,,Not found,https://disfold.com/company/blackrock-throgmorton-trust-plc/,,,,,,Not found,,,,,,,,
Centamin plc,,"Saint Helier, Jersey",,,,C$1.70 Billion,,"2,556",https://disfold.com/company/centamin-plc/,,,,,,Mr. Martin  Horgan,,,,,,,,
Jubilee Enterprise Public Company Ltd,,"Bangkok, Thailand",,,,฿4.03 Billion,,Not found,https://disfold.com/company/jubilee-enterprise-public-company-ltd/,,,,,,Ms. Unyarat  Pornprakit,,,,,,,,
"Cheniere Energy, Inc.",,"Houston, TX, United States",,,,$34.92 Billion,,"1,550",https://disfold.com/company/cheniere-energy-inc/,,,,,,Mr. Jack A. Fusco,,,,,,,,
Hewlett Packard Enterprise Company,,"Houston, TX, United States",,,,$22.65 Billion,,"60,400",https://disfold.com/company/hewlett-packard-enterprise-company/,,,,,,Mr. Antonio Fabio Neri,,,,,,,,
Booz Allen Hamilton Holding Corporation,,"McLean, VA, United States",,,,$11.90 Billion,,"29,500",https://disfold.com/company/booz-allen-hamilton-holding-corporation/,,,,,,Mr. Horacio D. Rozanski,,,,,,,,
Zynga Inc.,,"San Francisco, CA, United States",,,,$10.63 Billion,,"2,952",https://disfold.com/company/zynga-inc/,,,,,,Mr. Frank D. Gibeau,,,,,,,,
Apartment Income REIT Corp.,,"Denver, CO, United States",,,,$8.56 Billion,,800,https://disfold.com/company/apartment-income-reit-corp/,,,,,,Mr. Terry  Considine J.D.,,,,,,,,
"Royal Gold, Inc.",,"Denver, CO, United States",,,,$9.23 Billion,,29,https://disfold.com/company/royal-gold-inc/,,,,,,Mr. William H. Heissenbuttel,,,,,,,,
"Under Armour, Inc.",,"Baltimore, MD, United States",,,,$7.29 Billion,,"7,100",https://disfold.com/company/under-armour-inc/,,,,,,Mr. Patrik  Frisk,,,,,,,,
"Reinsurance Group of America, Incorporated",,"Chesterfield, MO, United States",,,,$7.50 Billion,,"3,500",https://disfold.com/company/reinsurance-group-of-america-incorporated/,,,,,,"Ms. Anna  Manning FSA, FCIA",,,,,,,,
"Option Care Health, Inc.",,"Bannockburn, IL, United States",,,,$4.98 Billion,,"5,430",https://disfold.com/company/option-care-health-inc/,,,,,,Mr. John C. Rademacher,,,,,,,,
"Ionis Pharmaceuticals, Inc.",,"Carlsbad, CA, United States",,,,$5.24 Billion,,660,https://disfold.com/company/ionis-pharmaceuticals-inc/,,,,,,Dr. Brett P. Monia Ph.D.,,,,,,,,
Monster Beverage Corporation,,"Corona, CA, United States",,,,$42.81 Billion,,"3,458",https://disfold.com/company/monster-beverage-corporation/,,,,,,Mr. Rodney Cyril Sacks,,,,,,,,
HP Inc.,,"Palo Alto, CA, United States",,,,$43.90 Billion,,"51,000",https://disfold.com/company/hp-inc/,,,,,,Mr. Enrique J. Lores,,,,,,,,
General Dynamics Corporation,,Not found,,,,$70.55 Billion,,"103,100",https://disfold.com/company/general-dynamics-corporation/,,,,,,Ms. Phebe N. Novakovic,,,,,,,,
Truist Financial Corporation,,"Charlotte, NC, United States",,,,$74.79 Billion,,"50,283",https://disfold.com/company/truist-financial-corporation/,,,,,,Mr. William Henry Rogers Jr.,,,,,,,,
